ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
80,200.18.102.102,54.77.146.221,55170,80,IP,TCP,89.38461538461539,70.17587733333333,1162,13,129.11111111111111,1.4444444444444444,9,90.224932625,Downlink
81,200.18.102.63,239.255.255.250,51375,1900,IP,UDP,167.75,0.9664033333333332,671,4,167.75,1.0,4,0.9664033333333332,Uplink
82,200.18.102.39,200.18.102.102,60308,5000,IP,UDP,1108.819620414186,0.0006086791502353,43583264,39306,1255.8208903616194,1.132574556980262,34705,0.0006893768441678,Uplink
85,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:809::200e,61823,443,IPv6,UDP,619.6428571428571,0.026133,8675,14,619.6428571428571,1.0,14,0.026133,Uplink
86,2800:3f0:4001:809::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,61823,IPv6,UDP,496.7692307692308,0.0264424166666666,6458,13,645.8,1.3,10,0.0352565555555555,Downlink
89,54.77.52.141,200.18.102.102,80,55171,IP,TCP,65.07692307692308,68.54382108333333,846,13,120.85714285714286,1.8571428571428568,7,112.09466483333333,Uplink
90,200.18.102.102,54.77.52.141,55171,80,IP,TCP,87.53846153846153,68.52129808333333,1138,13,142.25,1.625,8,117.46508242857142,Downlink
92,200.18.102.39,200.18.102.102,40255,5000,IP,UDP,1104.3408790985686,0.0006107946856838,43515448,39404,1254.843070534633,1.1362823692254456,34678,0.0006940376330132,Uplink
98,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:820::200a,58860,443,IPv6,UDP,292.0625,1.5511335333333331,4673,16,311.53333333333336,1.0666666666666669,15,1.6619287857142857,Uplink
100,2800:3f0:4001:820::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58860,IPv6,UDP,331.0,1.6624751428571427,4965,15,354.6428571428572,1.0714285714285714,14,1.790357846153846,Downlink
101,200.18.102.102,34.94.213.23,58511,80,IP,TCP,179.0,0.084653,537,3,268.5,1.5,2,0.169306,Uplink
111,200.18.102.102,34.205.234.25,58517,443,IP,TCP,263.09090909090907,10.0760772,2894,11,413.4285714285714,1.5714285714285714,7,0.122765,Uplink
112,34.205.234.25,200.18.102.102,443,58517,IP,TCP,662.2666666666667,0.7568292857142856,9934,15,903.0909090909092,1.3636363636363635,11,1.059561,Downlink
119,200.18.102.102,44.208.238.74,58518,443,IP,TCP,511.6470588235294,6.3077024375,8698,17,1087.25,2.125,8,0.107071,Uplink
122,44.208.238.74,200.18.102.102,443,58518,IP,TCP,998.7083333333334,0.4613792608695652,23969,24,2179.0,2.1818181818181817,11,1.0611723,Downlink
123,200.18.102.39,200.18.102.102,35327,5000,IP,UDP,1108.8564431337352,0.0006519288608503,43239857,38995,1242.0606382673138,1.1201275385631804,34813,0.0007302457198667,Uplink
130,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:809::200e,55430,443,IPv6,UDP,620.6363636363636,0.0171138,6827,11,620.6363636363636,1.0,11,0.0171138,Uplink
131,2800:3f0:4001:809::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,55430,IPv6,UDP,430.0833333333333,0.0133236363636363,5161,12,516.1,1.2,10,0.0162844444444444,Downlink
132,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,50074,443,IPv6,UDP,929.1052631578948,0.0178249444444444,17653,19,1961.4444444444443,2.111111111111111,9,0.040106125,Uplink
133,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,50074,IPv6,UDP,291.8,0.0223868571428571,4377,15,486.3333333333333,1.6666666666666667,9,0.039177,Downlink
134,200.18.102.102,162.159.130.234,58527,443,IP,TCP,135.55555555555554,8.235534846153847,3660,27,166.36363636363637,1.2272727272727273,22,10.196376476190476,Uplink
135,162.159.130.234,200.18.102.102,443,58527,IP,TCP,165.24137931034485,7.647313214285713,4792,29,208.34782608695653,1.2608695652173914,23,9.732524909090909,Downlink
136,200.18.102.39,200.18.102.102,33549,5000,IP,UDP,1120.3291947499113,0.0006482354491321,44214912,39466,1267.9928878692283,1.1318038428448522,34870,0.0007336778227078,Uplink
137,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:820::200a,60842,443,IPv6,UDP,245.46153846153845,1.7775351666666666,3191,13,265.9166666666667,1.0833333333333333,12,1.9391292727272729,Uplink
138,2800:3f0:4001:820::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,60842,IPv6,UDP,348.2857142857143,1.6389466923076923,4876,14,375.0769230769231,1.0769230769230769,13,1.7755255833333332,Downlink
139,200.18.102.39,200.18.102.102,53057,5000,IP,UDP,1104.2875350175402,0.0006266543586896,43755185,39623,1293.2694410782372,1.1711346909821772,33833,0.0007338998285646,Uplink
145,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:831::2003,49251,443,IPv6,UDP,258.46153846153845,0.1719690833333333,3360,13,280.0,1.0833333333333333,12,0.1876026363636363,Uplink
147,2800:3f0:4001:831::2003,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,49251,IPv6,UDP,373.3571428571428,0.1566203076923076,5227,14,402.0769230769231,1.0769230769230769,13,0.169672,Downlink
152,200.18.102.102,3.232.104.21,58542,443,IP,TCP,144.8181818181818,10.084596,1593,11,227.57142857142856,1.5714285714285714,7,0.1447866666666666,Uplink
153,3.232.104.21,200.18.102.102,443,58542,IP,TCP,577.6666666666666,5.515209363636364,6932,12,770.2222222222222,1.3333333333333333,9,7.583412875,Downlink
154,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,61308,443,IPv6,UDP,975.2777777777778,0.0180758823529411,17555,18,2194.375,2.25,8,0.0438985714285714,Uplink
155,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,61308,IPv6,UDP,306.6428571428572,0.023961,4293,14,536.625,1.75,8,0.044499,Downlink
161,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:809::200e,59238,443,IPv6,UDP,788.0540540540541,0.1967082465753424,58316,74,1325.3636363636365,1.681818181818182,44,0.3339465581395348,Uplink
163,2800:3f0:4001:809::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,59238,IPv6,UDP,260.8793103448276,0.2514729298245614,15131,58,328.9347826086956,1.2608695652173914,46,0.3185323777777777,Downlink
170,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:81e::200e,51527,443,IPv6,UDP,410.4166666666667,0.0178898181818181,4925,12,447.7272727272728,1.0909090909090908,11,0.0196788,Uplink
171,2800:3f0:4001:81e::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,51527,IPv6,UDP,555.4615384615385,0.0118918333333333,7221,13,656.4545454545455,1.181818181818182,11,0.0142702,Downlink
172,200.18.102.39,200.18.102.102,42589,5000,IP,UDP,1115.2417338709677,0.0006125902618513,44252792,39680,1311.8935135776117,1.176331080279853,33732,0.0007206121668494,Uplink
175,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:820::200a,56981,443,IPv6,UDP,245.69230769230768,1.7189845,3194,13,266.1666666666667,1.0833333333333333,12,1.875255818181818,Uplink
176,2800:3f0:4001:820::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,56981,IPv6,UDP,348.2857142857143,1.5844175384615384,4876,14,375.0769230769231,1.0769230769230769,13,1.7164523333333332,Downlink
177,200.18.102.39,200.18.102.102,41711,5000,IP,UDP,1116.7797091256186,0.000622534262748,44460117,39811,1341.3418512037651,1.2010800699933628,33146,0.0007477172725901,Uplink
183,200.18.102.102,204.79.197.203,58556,443,IP,TCP,236.2962962962963,2.401703846153846,6380,27,580.0,2.4545454545454546,11,0.2041655,Uplink
184,204.79.197.203,200.18.102.102,443,58556,IP,TCP,914.6727272727272,0.0378986111111111,50307,55,1437.3428571428572,1.5714285714285714,35,0.0601919117647058,Downlink
190,200.18.102.102,20.96.153.111,58558,443,IP,TCP,236.3125,4.065727266666666,3781,16,378.1,1.6,10,0.0681113333333333,Uplink
191,20.96.153.111,200.18.102.102,443,58558,IP,TCP,584.0769230769231,0.0497341666666666,7593,13,759.3,1.3,10,0.0663122222222222,Downlink
197,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:80f::2003,53604,443,IPv6,UDP,273.0,0.0244372222222222,2730,10,273.0,1.0,10,0.0244372222222222,Uplink
199,2800:3f0:4001:80f::2003,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,53604,IPv6,UDP,475.9090909090909,0.0189669,5235,11,523.5,1.1,10,0.0210743333333333,Downlink
200,200.18.102.102,162.247.243.29,58560,443,IP,TCP,298.25,0.027949,2386,8,477.2,1.6,5,0.0486915,Uplink
201,162.247.243.29,200.18.102.102,443,58560,IP,TCP,166.5,0.0273457142857142,1332,8,222.0,1.3333333333333333,6,0.038284,Downlink
202,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,63032,443,IPv6,UDP,975.5555555555557,0.0181994117647058,17560,18,2195.0,2.25,8,0.0441985714285714,Uplink
203,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,63032,IPv6,UDP,306.6428571428572,0.0232457692307692,4293,14,536.625,1.75,8,0.0431707142857142,Downlink
204,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:10::58dd:28,58562,443,IPv6,TCP,126.57142857142856,19.29177781481481,3544,28,354.4,2.8,10,0.0639722222222222,Uplink
205,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:ed,58563,443,IPv6,TCP,110.16455696202532,6.6776588205128204,8703,79,483.5,4.388888888888889,18,0.2936384117647058,Uplink
206,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:10::58dd:28,58564,443,IPv6,TCP,101.94117647058825,32.5775239375,1733,17,216.625,2.125,8,2.9140077142857144,Uplink
207,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:ed,58565,443,IPv6,TCP,99.5,30.635163117647057,1791,18,223.875,2.25,8,2.9213672857142856,Uplink
208,2600:1419:4e00:10::58dd:28,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58562,IPv6,TCP,387.3636363636364,5.741816476190476,8522,22,473.44444444444446,1.2222222222222223,18,7.092832117647059,Downlink
209,2600:1419:4e00:a::58dd:ed,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58563,IPv6,TCP,1251.264,1.0069491532258064,156408,125,4739.636363636364,3.787878787878788,33,3.90192796875,Downlink
210,2600:1419:4e00:10::58dd:28,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58564,IPv6,TCP,382.1538461538461,1.6840194166666667,4968,13,496.8,1.3,10,2.2453592222222225,Downlink
211,2600:1419:4e00:a::58dd:ed,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58565,IPv6,TCP,406.7692307692308,1.6890159166666665,5288,13,528.8,1.3,10,2.2520212222222225,Downlink
